location,name,freq,weighting,n_countries,date,ret
world_ex_us,momentum,monthly,vw,47,2006-03-31,0.00810515525862004
world_ex_us,momentum,monthly,vw,47,2006-04-30,0.00962540663328092
world_ex_us,momentum,monthly,vw,47,2006-05-31,-0.0196249439118496
world_ex_us,momentum,monthly,vw,47,2006-06-30,-0.00039804845548168
world_ex_us,momentum,monthly,vw,48,2006-07-31,0.00872333175008492
world_ex_us,momentum,monthly,vw,48,2006-08-31,-0.00641363114290321
world_ex_us,momentum,monthly,vw,49,2006-09-30,0.000275785796279738
world_ex_us,momentum,monthly,vw,50,2006-10-31,0.00158815049817309
world_ex_us,momentum,monthly,vw,50,2006-11-30,0.00678935585584621
world_ex_us,momentum,monthly,vw,48,2006-12-31,0.0207280151905418
world_ex_us,momentum,monthly,vw,49,2007-01-31,0.00133777063109521
world_ex_us,momentum,monthly,vw,49,2007-02-28,0.00346159094293451
world_ex_us,momentum,monthly,vw,49,2007-03-31,0.00957852245910404
world_ex_us,momentum,monthly,vw,50,2007-04-30,0.00892088531852527
world_ex_us,momentum,monthly,vw,50,2007-05-31,0.00409122529143504
world_ex_us,momentum,monthly,vw,50,2007-06-30,0.000285248395485426
world_ex_us,momentum,monthly,vw,51,2007-07-31,0.0141545961488486
world_ex_us,momentum,monthly,vw,52,2007-08-31,0.00156734819095081
world_ex_us,momentum,monthly,vw,52,2007-09-30,0.0383238093869683
world_ex_us,momentum,monthly,vw,53,2007-10-31,0.029653985337323
world_ex_us,momentum,monthly,vw,54,2007-11-30,0.00301422353818397
world_ex_us,momentum,monthly,vw,54,2007-12-31,0.0113798364323075
world_ex_us,momentum,monthly,vw,55,2008-01-31,-0.00473936664167255
world_ex_us,momentum,monthly,vw,55,2008-02-29,0.0154722757178167
world_ex_us,momentum,monthly,vw,56,2008-03-31,-0.000257334301472425
world_ex_us,momentum,monthly,vw,56,2008-04-30,-0.01338129418522
world_ex_us,momentum,monthly,vw,56,2008-05-31,0.0224179396558464
world_ex_us,momentum,monthly,vw,55,2008-06-30,0.0497173331276501
world_ex_us,momentum,monthly,vw,55,2008-07-31,-0.0305700799715538
world_ex_us,momentum,monthly,vw,54,2008-08-31,-0.0194434909020357
world_ex_us,momentum,monthly,vw,55,2008-09-30,0.0289374262643447
world_ex_us,momentum,monthly,vw,52,2008-10-31,0.0570697946963352
world_ex_us,momentum,monthly,vw,52,2008-11-30,0.0165649255963984
world_ex_us,momentum,monthly,vw,52,2008-12-31,-0.0341178985267218
world_ex_us,momentum,monthly,vw,52,2009-01-31,0.00132331450088039
world_ex_us,momentum,monthly,vw,53,2009-02-28,0.00491380347979758
world_ex_us,momentum,monthly,vw,55,2009-03-31,-0.0686121295193659
world_ex_us,momentum,monthly,vw,56,2009-04-30,-0.132235488040473
world_ex_us,momentum,monthly,vw,54,2009-05-31,-0.0550626472322327
world_ex_us,momentum,monthly,vw,55,2009-06-30,-0.00506781748475714
world_ex_us,momentum,monthly,vw,54,2009-07-31,0.00630671540760292
world_ex_us,momentum,monthly,vw,52,2009-08-31,-0.0228761327514778
world_ex_us,momentum,monthly,vw,51,2009-09-30,0.00278561910290068
world_ex_us,momentum,monthly,vw,51,2009-10-31,0.00779190588658677
world_ex_us,momentum,monthly,vw,52,2009-11-30,0.0076433195200001
world_ex_us,momentum,monthly,vw,52,2009-12-31,0.0100270444547681
world_ex_us,momentum,monthly,vw,51,2010-01-31,-0.0181895576938034
world_ex_us,momentum,monthly,vw,52,2010-02-28,0.000315755708731779
world_ex_us,momentum,monthly,vw,52,2010-03-31,0.00784303215111117
world_ex_us,momentum,monthly,vw,52,2010-04-30,0.00368646885923998
world_ex_us,momentum,monthly,vw,51,2010-05-31,-0.00222061640796784
world_ex_us,momentum,monthly,vw,51,2010-06-30,0.00594399859511018
world_ex_us,momentum,monthly,vw,53,2010-07-31,-0.020228403033169
world_ex_us,momentum,monthly,vw,53,2010-08-31,0.0239246262969613
world_ex_us,momentum,monthly,vw,53,2010-09-30,0.0147268955069147
world_ex_us,momentum,monthly,vw,54,2010-10-31,-0.000634673829064758
world_ex_us,momentum,monthly,vw,54,2010-11-30,0.0200020756111151
world_ex_us,momentum,monthly,vw,54,2010-12-31,0.00298931531861646
world_ex_us,momentum,monthly,vw,52,2011-01-31,-0.0177688832725338
world_ex_us,momentum,monthly,vw,52,2011-02-28,0.00314869729234003
world_ex_us,momentum,monthly,vw,50,2011-03-31,0.00644351486184334
world_ex_us,momentum,monthly,vw,51,2011-04-30,0.00500989098400702
world_ex_us,momentum,monthly,vw,51,2011-05-31,9.35338342346092e-05
world_ex_us,momentum,monthly,vw,50,2011-06-30,0.00826178886067864
world_ex_us,momentum,monthly,vw,51,2011-07-31,0.014710558574858
world_ex_us,momentum,monthly,vw,51,2011-08-31,0.0169837858838772
world_ex_us,momentum,monthly,vw,53,2011-09-30,0.00563100729968323
world_ex_us,momentum,monthly,vw,54,2011-10-31,-0.0379223088396743
world_ex_us,momentum,monthly,vw,51,2011-11-30,0.0375192380985356
world_ex_us,momentum,monthly,vw,50,2011-12-31,0.0215195052614316
world_ex_us,momentum,monthly,vw,51,2012-01-31,-0.0588987664123111
world_ex_us,momentum,monthly,vw,49,2012-02-29,-0.0338566370594357
world_ex_us,momentum,monthly,vw,50,2012-03-31,0.0218261570985424
world_ex_us,momentum,monthly,vw,50,2012-04-30,0.0165346258030983
world_ex_us,momentum,monthly,vw,50,2012-05-31,0.0190572358646435
world_ex_us,momentum,monthly,vw,50,2012-06-30,0.00428652999223911
world_ex_us,momentum,monthly,vw,50,2012-07-31,0.026153897018854
world_ex_us,momentum,monthly,vw,50,2012-08-31,-0.00812838422478534
world_ex_us,momentum,monthly,vw,51,2012-09-30,-0.0074942497017663
world_ex_us,momentum,monthly,vw,50,2012-10-31,0.00650644915272486
world_ex_us,momentum,monthly,vw,51,2012-11-30,0.0122278403595414
world_ex_us,momentum,monthly,vw,50,2012-12-31,-0.00808301666835225
world_ex_us,momentum,monthly,vw,50,2013-01-31,0.00462773089395719
world_ex_us,momentum,monthly,vw,50,2013-02-28,0.0164163390810694
world_ex_us,momentum,monthly,vw,50,2013-03-31,0.0107666084895521
world_ex_us,momentum,monthly,vw,51,2013-04-30,0.0233441861038805
world_ex_us,momentum,monthly,vw,51,2013-05-31,0.00196284201471807
world_ex_us,momentum,monthly,vw,51,2013-06-30,0.0147030186622599
world_ex_us,momentum,monthly,vw,51,2013-07-31,0.014162360490846
world_ex_us,momentum,monthly,vw,50,2013-08-31,-0.0190616509232176
world_ex_us,momentum,monthly,vw,51,2013-09-30,0.0128027977104258
world_ex_us,momentum,monthly,vw,50,2013-10-31,0.00303949481748125
world_ex_us,momentum,monthly,vw,50,2013-11-30,0.0121534147622143
world_ex_us,momentum,monthly,vw,50,2013-12-31,0.0123709333724957
world_ex_us,momentum,monthly,vw,50,2014-01-31,0.012889806822608
world_ex_us,momentum,monthly,vw,50,2014-02-28,0.00859096432521213
world_ex_us,momentum,monthly,vw,50,2014-03-31,-0.0233592678439065
world_ex_us,momentum,monthly,vw,50,2014-04-30,-0.0148520758290684
world_ex_us,momentum,monthly,vw,50,2014-05-31,-0.0026136039623375
world_ex_us,momentum,monthly,vw,50,2014-06-30,0.0100836621600621
world_ex_us,momentum,monthly,vw,50,2014-07-31,-0.00466514467067093
world_ex_us,momentum,monthly,vw,51,2014-08-31,0.0085465436524721
world_ex_us,momentum,monthly,vw,51,2014-09-30,0.00800573299956749
world_ex_us,momentum,monthly,vw,52,2014-10-31,0.00506551115815352
world_ex_us,momentum,monthly,vw,52,2014-11-30,0.00386649978683735
world_ex_us,momentum,monthly,vw,51,2014-12-31,0.00859288531754312
world_ex_us,momentum,monthly,vw,51,2015-01-31,0.0188966053169556
world_ex_us,momentum,monthly,vw,51,2015-02-28,-0.0188064155109235
world_ex_us,momentum,monthly,vw,51,2015-03-31,0.0122996253301241
world_ex_us,momentum,monthly,vw,50,2015-04-30,-0.0179904052484539
world_ex_us,momentum,monthly,vw,50,2015-05-31,0.00805606883757289
world_ex_us,momentum,monthly,vw,50,2015-06-30,-6.07423444068971e-06
world_ex_us,momentum,monthly,vw,49,2015-07-31,0.00336200000098969
world_ex_us,momentum,monthly,vw,49,2015-08-31,0.000511535669961961
world_ex_us,momentum,monthly,vw,52,2015-09-30,0.00854191151711808
world_ex_us,momentum,monthly,vw,52,2015-10-31,-0.0309959558916208
world_ex_us,momentum,monthly,vw,52,2015-11-30,0.00456845720936946
world_ex_us,momentum,monthly,vw,51,2015-12-31,0.0128934597855581
world_ex_us,momentum,monthly,vw,53,2016-01-31,0.0137440270411785
world_ex_us,momentum,monthly,vw,54,2016-02-29,-0.00236693999493695
world_ex_us,momentum,monthly,vw,55,2016-03-31,-0.0196429193217983
world_ex_us,momentum,monthly,vw,53,2016-04-30,-0.00749331434397097
world_ex_us,momentum,monthly,vw,51,2016-05-31,0.0134470206154233
world_ex_us,momentum,monthly,vw,52,2016-06-30,0.0395680851245097
world_ex_us,momentum,monthly,vw,52,2016-07-31,-0.0135048335783434
world_ex_us,momentum,monthly,vw,50,2016-08-31,-0.0203309240896461
world_ex_us,momentum,monthly,vw,49,2016-09-30,0.011689460891563
world_ex_us,momentum,monthly,vw,49,2016-10-31,0.000477288373789017
world_ex_us,momentum,monthly,vw,50,2016-11-30,-0.0119702238242073
world_ex_us,momentum,monthly,vw,49,2016-12-31,-0.00436486420167037
world_ex_us,momentum,monthly,vw,49,2017-01-31,0.0185087306821842
world_ex_us,momentum,monthly,vw,48,2017-02-28,-0.0081762055192596
world_ex_us,momentum,monthly,vw,49,2017-03-31,0.0101887359937062
world_ex_us,momentum,monthly,vw,49,2017-04-30,0.00964741523573831
world_ex_us,momentum,monthly,vw,49,2017-05-31,-0.00488766982385968
world_ex_us,momentum,monthly,vw,50,2017-06-30,0.0113211578222916
world_ex_us,momentum,monthly,vw,50,2017-07-31,0.0102956914582079
world_ex_us,momentum,monthly,vw,51,2017-08-31,0.0081412369082606
world_ex_us,momentum,monthly,vw,50,2017-09-30,0.00265207010461448
world_ex_us,momentum,monthly,vw,50,2017-10-31,0.0168652085570405
world_ex_us,momentum,monthly,vw,50,2017-11-30,0.0122738002746825
world_ex_us,momentum,monthly,vw,50,2017-12-31,0.00932153087627657
world_ex_us,momentum,monthly,vw,50,2018-01-31,0.0170207911820875
